From	Entry	Reviewed
NP_036580.2	P51692	reviewed
NP_071761.1	Q9H5Q4	reviewed
NP_055448.1	Q6PD62	reviewed
NP_938080.1	Q86SR1	reviewed
NP_001460.1	P12956	reviewed
NP_001460.1	A0A024R1N4	unreviewed
NP_000711.1	Q01668	reviewed
NP_000711.1	Q59GD8	unreviewed
NP_060575.1	Q9NVV9	reviewed
NP_000625.1	P25024	reviewed
NP_003126.1	P09132	reviewed
NP_112243.1	Q9H0U4	reviewed
NP_059130.2	Q9NRD9	reviewed
NP_004293.1	P36896	reviewed
NP_002612.1	P27918	reviewed
NP_002612.1	A0A0S2Z4I5	unreviewed
NP_863654.1	O00154	reviewed
NP_003441.1	Q15697	reviewed
NP_003062.2	Q14527	reviewed
NP_003062.2	Q05BZ6	unreviewed
NP_004740.2	Q969Z0	reviewed
NP_055683.3	Q8N5U6	reviewed
NP_055683.3	A0A024RBP0	unreviewed
NP_115887.1	Q9BQY4	reviewed
NP_000487.1	P43320	reviewed
NP_000487.1	R4UMM2	unreviewed
NP_000990.1	P63173	reviewed
NP_000990.1	A0A024R8P8	unreviewed
NP_003504.2	P04908	reviewed
NP_003504.2	Q08AJ9	unreviewed
NP_001088.2	P10323	reviewed
NP_000430.3	P29120	reviewed
NP_065834.1	Q9H2B2	reviewed
NP_006397.1	Q13162	reviewed
NP_006397.1	V9HW63	unreviewed
NP_002591.2	Q07343	reviewed
NP_002591.2	X5DNX5	unreviewed
NP_057240.3	Q13614	reviewed
NP_476515.1	Q9Y5Y5	reviewed
NP_060897.3	Q9NYV6	reviewed
NP_006256.1	O60216	reviewed
NP_006256.1	A0A024R9J0	unreviewed
NP_003838.1	O75192	reviewed
NP_003838.1	B2R8C6	unreviewed
NP_001669.3	P14415	reviewed
NP_009202.1	Q15208	reviewed
NP_009202.1	A0A024RD18	unreviewed
NP_056464.1	Q8IU81	reviewed
NP_002358.1	O15481	reviewed
NP_003645.1	O43916	reviewed
NP_001393.1	P68104	reviewed
NP_001393.1	Q6IPS9	unreviewed
NP_006493.1	Q9Y253	reviewed
NP_006493.1	A0A024RD62	unreviewed
NP_055327.1	Q14954	reviewed
NP_055327.1	A0A7D4Y6C7	unreviewed
NP_008848.1	P48443	reviewed
NP_008848.1	F1D8Q7	unreviewed
NP_055006.1	Q9UQD0	reviewed
NP_066547.1	O94875	reviewed
NP_079514.1	Q9H0C5	reviewed
NP_079514.1	A0A024R224	unreviewed
NP_683694.1	Q8NG41	reviewed
NP_001395.1	P26641	reviewed
NP_001395.1	Q53YD7	unreviewed
NP_004521.1	P08253	reviewed
NP_004521.1	A0A024R6R4	unreviewed
NP_031368.1	O15504	reviewed
NP_066921.2	O95180	reviewed
NP_066921.2	B3KQH9	unreviewed
NP_002711.1	P60510	reviewed
NP_002711.1	A0A024R625	unreviewed
NP_848018.1	Q8IVM0	reviewed
NP_003356.2	P31930	reviewed
NP_036387.2	Q9H0D6	reviewed
NP_004773.1	O95721	reviewed
NP_004472.1	Q10471	reviewed
NP_004472.1	A0A1L7NY50	unreviewed
NP_036265.3	Q9UBF2	reviewed
NP_036265.3	A0A140VK12	unreviewed
NP_003368.1	P49765	reviewed
NP_003368.1	Q7LAP4	unreviewed
NP_579917.1	O75943	reviewed
NP_689810.3	Q8NA03	reviewed
NP_689810.3	A0A024R9J2	unreviewed
NP_060832.1	Q9NUP9	reviewed
NP_055764.2	Q7Z7F0	reviewed
NP_078902.2	Q7Z7D3	reviewed
NP_001077430.1	O43379	reviewed
NP_003136.1	P43308	reviewed
NP_005566.2	Q9UIQ6	reviewed
NP_055731.2	Q8IWU2	reviewed
NP_001403.1	P47813	reviewed
NP_005521.1	P50213	reviewed
NP_001169.3	O00327	reviewed
NP_001169.3	A0A140VKD3	unreviewed
NP_060093.3	Q8NE01	reviewed
NP_715638.1	Q96NT1	reviewed
NP_000987.2	P18077	reviewed
NP_004222.2	Q16864	reviewed
NP_004222.2	A4D1K0	unreviewed
NP_004875.2	Q8IVU1	reviewed
NP_005237.2	P16591	reviewed
NP_005237.2	W0S0X4	unreviewed
NP_002418.1	P45452	reviewed
NP_002418.1	Q53H33	unreviewed
NP_000519.2	O00754	reviewed
NP_000267.2	Q01968	reviewed
NP_005316.1	Q02539	reviewed
NP_006866.2	Q9P1W9	reviewed
NP_006866.2	A0A024QYW7	unreviewed
NP_000626.2	P48378	reviewed
NP_005051.2	P51449	reviewed
NP_005051.2	Q6I9R9	unreviewed
NP_001867.2	P50416	reviewed
NP_001867.2	A0A024R5F4	unreviewed
NP_001867.2	B2RAQ8	unreviewed
NP_001867.2	Q8WZ48	unreviewed
NP_573400.3	O14522	reviewed
NP_573400.3	A0A075B6H0	unreviewed
NP_001968.3	Q07075	reviewed
NP_004703.1	O14964	reviewed
NP_004703.1	A0A0S2Z4R4	unreviewed
NP_003736.1	O15524	reviewed
NP_003736.1	Q4JHT5	unreviewed
NP_000370.2	P47989	reviewed
NP_061830.3	Q9Y3L3	reviewed
NP_061830.3	A0A2X0SFX7	unreviewed
NP_057392.1	P30085	reviewed
NP_982293.1	Q9Y5L3	reviewed
NP_002137.4	P14651	reviewed
NP_002137.4	B3KNJ7	unreviewed
NP_065850.1	Q96FJ0	reviewed
NP_060926.2	Q96CJ1	reviewed
NP_005062.1	P48664	reviewed
NP_005062.1	B7Z7Q5	unreviewed
NP_689534.1	Q96DN0	reviewed
NP_005640.2	O60765	reviewed
NP_005640.2	V9HWI2	unreviewed
NP_597998.1	Q96F10	reviewed
NP_112594.1	Q9BU89	reviewed
NP_005350.1	Q13485	reviewed
NP_005350.1	A0A024R274	unreviewed
NP_001034707.1	Q9NS37	reviewed
NP_000726.1	P01215	reviewed
NP_000726.1	Q6I9S8	unreviewed
NP_006775.1	Q9UNX4	reviewed
NP_006775.1	Q5TDG3	unreviewed
NP_115996.1	Q68CJ9	reviewed
NP_060835.1	Q8NEH6	reviewed
NP_060835.1	B3KQ70	unreviewed
NP_060323.1	Q9NX01	reviewed
NP_057506.2	Q8WVD5	reviewed
NP_001224.1	P51636	reviewed
NP_001224.1	Q53X57	unreviewed
NP_005596.2	P48454	reviewed
NP_001524.2	P14866	reviewed
NP_001524.2	Q6NTA2	unreviewed
NP_001076437.1	Q6ZVM7	reviewed
NP_002372.1	O15232	reviewed
NP_056239.3	Q6WN34	reviewed
NP_115935.3	Q9BYV2	reviewed
NP_109587.1	P36507	reviewed
NP_036440.1	Q9Y2K7	reviewed
NP_036440.1	I3VM53	unreviewed
NP_038470.1	Q9UJZ1	reviewed
NP_079352.2	Q8NBZ7	reviewed
NP_001562.1	Q14653	reviewed
NP_004909.1	O95988	reviewed
NP_004909.1	A0A024R6P4	unreviewed
NP_001001924.1	Q9ULD2	reviewed
NP_003897.2	O60318	reviewed
NP_060219.2	Q9C0C7	reviewed
NP_444252.1	P35080	reviewed
NP_002266.2	P19012	reviewed
NP_002266.2	B3KVF5	unreviewed
NP_006218.1	P55058	reviewed
NP_004183.2	O95671	reviewed
NP_004183.2	B3KM43	unreviewed
NP_006266.2	Q13247	reviewed
NP_061182.3	Q8N336	reviewed
NP_055150.1	Q9Y6B2	reviewed
NP_071354.2	Q9H788	reviewed
NP_001377.1	Q16555	reviewed
NP_004212.4	P24001	reviewed
NP_075555.1	P58012	reviewed
NP_075555.1	Q53ZD3	unreviewed
NP_003493.1	O15169	reviewed
NP_003493.1	A0A0S2Z4R0	unreviewed
NP_077297.2	Q9BTD8	reviewed
NP_006120.1	P13497	reviewed
NP_002940.2	P52815	reviewed
NP_055917.1	O75161	reviewed
NP_060095.2	Q8WWA0	reviewed
NP_000734.2	P32297	reviewed
NP_765975.1	O95644	reviewed
NP_006835.2	A1L0T0	reviewed
NP_055670.1	O43299	reviewed
NP_071910.3	Q9H2S9	reviewed
NP_612157.1	Q9BRQ0	reviewed
NP_612157.1	Q5T170	unreviewed
NP_036530.1	O60331	reviewed
NP_066565.1	P30419	reviewed
NP_061840.1	Q9NSN8	reviewed
NP_061840.1	A0A024R7Y0	unreviewed
NP_002224.1	P22459	reviewed
NP_004273.1	O95816	reviewed
NP_000778.3	P09172	reviewed
NP_037507.1	Q9ULW3	reviewed
NP_037507.1	A0A024R029	unreviewed
NP_002078.1	P28799	reviewed
NP_002938.1	P35244	reviewed
NP_002938.1	A4D105	unreviewed
NP_036547.1	Q9Y620	reviewed
NP_001078855.1	Q86UQ8	reviewed
NP_006131.2	P15509	reviewed
NP_694989.2	Q8TAF7	reviewed
NP_694989.2	B4DRP8	unreviewed
NP_477512.1	O95897	reviewed
NP_002177.2	Q01113	reviewed
NP_009200.2	O00186	reviewed
NP_788276.1	Q96JB5	reviewed
NP_003086.1	P62306	reviewed
NP_055804.2	Q86UR5	reviewed
NP_055804.2	B7Z7W2	unreviewed
NP_055804.2	Q3ZCW0	unreviewed
NP_065825.1	Q86YT6	reviewed
NP_783202.1	Q8N6T3	reviewed
NP_005231.1	P41162	reviewed
NP_000628.2	P00390	reviewed
NP_000628.2	V9HW90	unreviewed
NP_064586.1	Q9NPB1	reviewed
NP_001661.1	O00192	reviewed
NP_005914.1	Q99683	reviewed
NP_006027.2	Q4J6C6	reviewed
NP_003583.2	Q13616	reviewed
NP_003583.2	A0A090N7U0	unreviewed
NP_003583.2	B3KTW0	unreviewed
NP_115871.1	Q8TEK3	reviewed
NP_065691.2	Q96GG9	reviewed
NP_065691.2	B4DM76	unreviewed
NP_006177.1	P43354	reviewed
NP_006177.1	F1D8N6	unreviewed
NP_006177.1	Q53EL4	unreviewed
NP_904357.1	Q8TCJ0	reviewed
NP_001002761.1	O14599	reviewed
NP_006315.1	Q9UEE9	reviewed
NP_005792.1	P41567	reviewed
NP_005792.1	Q6IAV3	unreviewed
NP_002955.2	P05109	reviewed
NP_055393.1	O00212	reviewed
NP_000290.2	Q13835	reviewed
NP_002199.3	P38570	reviewed
NP_002709.2	Q06190	reviewed
NP_000541.1	P17643	reviewed
NP_001010926.1	Q5TA89	reviewed
NP_002613.2	O60925	reviewed
NP_003977.1	O75936	reviewed
NP_061943.2	Q9Y6V7	reviewed
NP_075556.1	Q9BZZ2	reviewed
NP_663780.2	O15061	reviewed
NP_003811.2	Q92956	reviewed
NP_003811.2	A0A024R052	unreviewed
NP_277040.1	Q9C0D9	reviewed
NP_002898.2	P46063	reviewed
NP_002898.2	A0A024RAV2	unreviewed
NP_116214.2	Q96SR6	reviewed
NP_005554.1	P16949	reviewed
NP_005457.2	O75586	reviewed
NP_065706.2	Q8WXH2	reviewed
NP_065706.2	B4DIC1	unreviewed
NP_065706.2	F8W9A3	unreviewed
NP_001050.1	P29371	reviewed
NP_004324.2	P15056	reviewed
NP_570125.1	Q96T91	reviewed
NP_570125.1	A0A024R579	unreviewed
NP_004612.2	Q9Y210	reviewed
NP_004695.1	O43818	reviewed
NP_078941.2	Q9BZK7	reviewed
NP_149110.1	Q969G9	reviewed
NP_000540.2	P01222	reviewed
NP_002268.2	Q15323	reviewed
NP_004420.1	P98172	reviewed
NP_004461.2	P26885	reviewed
NP_004461.2	Q53XJ5	unreviewed
NP_001830.1	Q15417	reviewed
NP_009209.1	O95166	reviewed
NP_009209.1	Q6IAW1	unreviewed
NP_942015.1	Q86WK7	reviewed
NP_002583.1	P12004	reviewed
NP_201585.1	Q96KX2	reviewed
NP_201585.1	A0A140VKF6	unreviewed
NP_004597.2	P21675	reviewed
NP_757385.1	Q86TM6	reviewed
NP_002852.1	Q99447	reviewed
NP_031398.2	Q86XP3	reviewed
NP_000206.2	P52333	reviewed
NP_000206.2	A0A024R7M7	unreviewed
NP_005776.1	Q9H4P4	reviewed
NP_005776.1	A0A024RB33	unreviewed
NP_061955.1	Q9NY93	reviewed
NP_057270.1	Q9UK55	reviewed
NP_057270.1	A0A024R6I6	unreviewed
NP_619525.1	Q9NZ52	reviewed
NP_619525.1	A8K6M0	unreviewed
NP_443097.1	Q9BQP7	reviewed
NP_004497.1	Q03933	reviewed
NP_005479.1	O60784	reviewed
NP_005479.1	B3KUF5	unreviewed
NP_071400.1	Q9H2G4	reviewed
NP_114172.1	P14635	reviewed
NP_000047.1	P21953	reviewed
NP_000047.1	A0A140VKB3	unreviewed
NP_000180.2	P52789	reviewed
NP_005541.3	Q9BVG8	reviewed
NP_006393.2	O43504	reviewed
NP_006393.2	A0A0C4DGV4	unreviewed
NP_057078.1	Q9Y5K8	reviewed
NP_057078.1	A0A024R683	unreviewed
NP_006189.2	P48539	reviewed
NP_002866.2	Q06609	reviewed
NP_001013725.2	Q9P2K8	reviewed
NP_001545.2	O00622	reviewed
NP_001545.2	Q6FI18	unreviewed
NP_000535.3	Q03519	reviewed
NP_000535.3	X5CMH5	unreviewed
NP_078946.1	Q9H5I1	reviewed
NP_005415.1	P35590	reviewed
NP_001125.1	P02771	reviewed
NP_005727.1	P61163	reviewed
NP_005727.1	A0A384NQ21	unreviewed
NP_003949.1	O76064	reviewed
NP_001618.2	Q13740	reviewed
NP_665734.1	P10620	reviewed
NP_665734.1	A0A024RAX2	unreviewed
NP_004419.2	P20827	reviewed
NP_777613.1	Q93084	reviewed
NP_777613.1	A8K9K1	unreviewed
NP_653318.2	Q6UXL0	reviewed
NP_001911.1	P07585	reviewed
NP_001911.1	Q6FH10	unreviewed
NP_004710.2	Q99590	reviewed
NP_004119.1	P13984	reviewed
NP_004119.1	A0A024RDU9	unreviewed
NP_003794.3	P52179	reviewed
NP_000365.3	P06132	reviewed
NP_060102.1	Q9NXV6	reviewed
NP_001034796.1	Q96C92	reviewed
NP_055321.1	O14657	reviewed
NP_005019.2	P48426	reviewed
NP_055606.1	Q14680	reviewed
NP_775490.2	P57059	reviewed
NP_116569.1	Q9NP71	reviewed
NP_612564.1	O00206	reviewed
NP_060564.2	Q8IYD1	reviewed
NP_001008405.1	Q9UHQ4	reviewed
NP_001008405.1	E9PAJ1	unreviewed
NP_037533.2	Q8TBN0	reviewed
NP_005753.1	Q13263	reviewed
NP_003354.2	Q13107	reviewed
NP_003354.2	A1LPW7	unreviewed
NP_003354.2	Q08AK7	unreviewed
NP_065862.1	A5YM72	reviewed
NP_071732.1	P57729	reviewed
NP_071732.1	A0A024R191	unreviewed
NP_003713.3	Q9H3D4	reviewed
NP_003713.3	A0A0S2Z4N5	unreviewed
NP_005959.2	P52272	reviewed
NP_066402.2	P06899	reviewed
NP_066402.2	A0A024RCJ2	unreviewed
NP_996790.3	Q13131	reviewed
NP_954986.2	P07101	reviewed
NP_954986.2	P78428	unreviewed
NP_647473.1	Q96TA2	reviewed
NP_003963.1	O14981	reviewed
NP_003963.1	Q2M1V9	unreviewed
NP_003963.1	Q8N6J1	unreviewed
NP_005739.2	Q8IY57	reviewed
NP_777594.1	Q8IWT1	reviewed
NP_777594.1	B0YJ93	unreviewed
NP_064589.2	Q9NQ69	reviewed
NP_006069.1	Q9Y698	reviewed
NP_004284.1	Q9Y2T3	reviewed
NP_004284.1	A0A024R231	unreviewed
NP_006109.2	O00165	reviewed
NP_006109.2	A0A0S2Z591	unreviewed
NP_002415.1	P22894	reviewed
NP_002471.1	O14974	reviewed
NP_002471.1	B2RAH5	unreviewed
NP_002801.1	P55036	reviewed
NP_001453.1	P25090	reviewed
NP_001453.1	A0A024R4P3	unreviewed
NP_000764.1	P05181	reviewed
NP_115639.1	Q9H095	reviewed
NP_612440.1	Q96ES6	reviewed
NP_006246.2	P24723	reviewed
NP_006042.3	O95704	reviewed
NP_006042.3	Q59EH2	unreviewed
NP_006042.3	Q96DX9	unreviewed
NP_055128.1	O95807	reviewed
NP_055128.1	Q7RU07	unreviewed
NP_057037.1	Q9Y314	reviewed
NP_004078.2	Q12959	reviewed
NP_002257.1	P52292	reviewed
NP_958815.1	Q9NQ29	reviewed
NP_001197.1	Q13886	reviewed
NP_001197.1	A0A024R260	unreviewed
NP_005845.2	O60895	reviewed
NP_005845.2	A0A024R1Z2	unreviewed
NP_005726.1	P42025	reviewed
NP_001815.2	P06732	reviewed
NP_001815.2	B2R892	unreviewed
NP_443082.2	Q8TAE8	reviewed
NP_057683.1	Q9NPC6	reviewed
NP_056076.1	P42695	reviewed
NP_006229.1	Q03181	reviewed
NP_006229.1	A0A024RCW6	unreviewed
NP_612403.2	Q8WVV9	reviewed
NP_612403.2	A0A0S2Z6K1	unreviewed
NP_612565.1	Q02241	reviewed
NP_000015.1	P07550	reviewed
NP_000015.1	X5DQM5	unreviewed
NP_071908.2	Q6DKJ4	reviewed
NP_005546.2	P04259	reviewed
NP_958437.1	Q8TDH9	reviewed
NP_001096.1	Q04771	reviewed
NP_001096.1	D3DPA4	unreviewed
NP_036351.3	O14807	reviewed
NP_036351.3	Q6FGP0	unreviewed
NP_036351.3	Q8WVM9	unreviewed
NP_006284.2	Q06418	reviewed
NP_071448.1	Q9HAP6	reviewed
NP_055330.1	Q9NZN8	reviewed
NP_055330.1	A0A024RBD8	unreviewed
NP_659471.1	Q8NFQ8	reviewed
NP_004548.3	Q99466	reviewed
NP_004548.3	A0A1U9X983	unreviewed
NP_612462.1	Q96E17	reviewed
NP_006106.1	P78395	reviewed
NP_006106.1	A0A024R1E6	unreviewed
NP_003667.1	O15121	reviewed
NP_003667.1	A0A024R3P1	unreviewed
NP_919226.1	Q7Z570	reviewed
NP_001817.1	P61024	reviewed
NP_001817.1	Q5T178	unreviewed
NP_940919.1	Q8IV04	reviewed
NP_003837.1	O96011	reviewed
NP_003837.1	A0A024R4E7	unreviewed
NP_001548.1	P25025	reviewed
NP_001548.1	Q53PC4	unreviewed
NP_003816.2	O00161	reviewed
NP_003816.2	A8K287	unreviewed
NP_002638.2	Q8NEB9	reviewed
NP_072088.1	Q9H1K6	reviewed
NP_002892.1	Q15293	reviewed
NP_002892.1	V9HW95	unreviewed
NP_061825.2	P17509	reviewed
NP_002470.2	P15173	reviewed
NP_004431.1	Q15375	reviewed
NP_003195.1	Q14494	reviewed
NP_003195.1	Q8NF22	unreviewed
NP_003348.1	P11684	reviewed
NP_003348.1	A0A0S2Z4R6	unreviewed
NP_066290.1	Q01523	reviewed
NP_694551.1	Q8N159	reviewed
NP_955360.1	P56748	reviewed
NP_955360.1	A0A0K0K1I9	unreviewed
NP_733932.1	Q99712	reviewed
NP_055153.1	Q9UG56	reviewed
NP_055153.1	A0A024R1K5	unreviewed
NP_001532.1	Q16082	reviewed
NP_001532.1	A8KAH6	unreviewed
NP_073717.1	P63162	reviewed
NP_073717.1	X5DP00	unreviewed
NP_036391.1	Q9UBP5	reviewed
NP_060918.2	Q86VP6	reviewed
NP_003039.2	Q9UBY0	reviewed
NP_036311.3	Q9Y3I1	reviewed
NP_003770.1	O60512	reviewed
NP_003770.1	A0A384NY44	unreviewed
NP_003770.1	A8K5Z0	unreviewed
NP_000383.1	Q92887	reviewed
NP_006182.2	Q9UQ80	reviewed
NP_006182.2	A0A024RB85	unreviewed
NP_001002760.1	O14599	reviewed
NP_689735.1	Q8N6S5	reviewed
NP_689735.1	B3KMZ5	unreviewed
NP_006590.1	O94916	reviewed
NP_004387.1	P17844	reviewed
NP_002534.1	P78380	reviewed
NP_002534.1	A0A024RAU0	unreviewed
NP_085148.1	Q7L8J4	reviewed
NP_085148.1	A0A024R0T2	unreviewed
NP_443107.1	Q4G0F5	reviewed
NP_443107.1	A0A024R3L9	unreviewed
NP_037450.2	Q5JSZ5	reviewed
NP_037450.2	Q9BU62	unreviewed
NP_036205.1	P48643	reviewed
NP_036205.1	V9HW37	unreviewed
NP_006624.2	Q13576	reviewed
NP_006624.2	B7Z7U6	unreviewed
NP_006624.2	Q59HA3	unreviewed
NP_005755.1	Q13113	reviewed
NP_004455.2	P12034	reviewed
NP_004455.2	A0A7U3L5M4	unreviewed
NP_004455.2	Q8NBG6	unreviewed
NP_060921.3	Q9HC77	reviewed
NP_060921.3	A8K8P1	unreviewed
NP_002537.3	O00300	reviewed
NP_003110.1	Q9UQ90	reviewed
NP_057422.3	Q9UI26	reviewed
NP_065118.2	Q9GZR2	reviewed
NP_000083.3	P53420	reviewed
NP_009208.2	O60645	reviewed
NP_009208.2	A0A024QYZ6	unreviewed
NP_009208.2	Q69YP2	unreviewed
NP_001390.1	Q92838	reviewed
NP_872114.1	Q16206	reviewed
NP_000064.1	P09693	reviewed
NP_000064.1	B0YIY5	unreviewed
NP_005707.1	O14908	reviewed
NP_005707.1	A0A024R7I0	unreviewed
NP_000630.1	P48023	reviewed
NP_000630.1	Q53ZZ1	unreviewed
NP_006342.2	O43615	reviewed
NP_001253.1	P42773	reviewed
NP_001253.1	Q6ICV4	unreviewed
NP_001017373.2	Q8N6K7	reviewed
NP_001036013.1	Q9UHY8	reviewed
NP_705618.1	O75694	reviewed
NP_705618.1	A0A024R071	unreviewed
NP_008937.1	O43809	reviewed
NP_008937.1	A0A024R6W2	unreviewed
NP_004218.1	O43739	reviewed
NP_001105.1	P51828	reviewed
NP_001105.1	Q86YI0	unreviewed
NP_000388.2	P04839	reviewed
NP_000388.2	A0A0S2Z3S6	unreviewed
NP_004865.1	O95429	reviewed
NP_004662.2	O75928	reviewed
NP_000119.1	P03951	reviewed
NP_001009999.1	O60341	reviewed
NP_001321.1	Q16619	reviewed
NP_067647.2	Q9HBX9	reviewed
NP_056100.2	Q9Y4E6	reviewed
NP_000950.1	P43088	reviewed
NP_004407.2	Q86Y01	reviewed
NP_996917.1	P14138	reviewed
NP_056989.2	O15164	reviewed
NP_036308.1	Q9UKT5	reviewed
NP_036308.1	B3KNA0	unreviewed
NP_940686.2	Q8WVF5	reviewed
NP_060595.3	Q9HCE6	reviewed
NP_573571.1	Q8TF74	reviewed
NP_037460.2	Q96C36	reviewed
NP_037460.2	A0A0S2Z5U6	unreviewed
NP_116207.2	Q8N4T4	reviewed
